Training Env Iteration,Time,Intersection Delay(s)
34,1666922418712,0
45,1666922419560,290.0151091037
56,1666922469258,392.361507952113
67,1666922471359,391.736814770856
78,1666922521344,402.384078587066
89,1666922522920,402.307258161218
100,1666922572689,395.917567915081
111,1666922574514,394.065246399633
122,1666922623829,394.083179405717
133,1666922625792,394.992568977073
144,1666922675088,394.020081684299
155,1666922677287,393.450446709032
166,1666922681283,395.012348991196
177,1666922728717,397.814814067811
188,1666922732323,397.175256939114
199,1666922780316,394.3462730532
210,1666922783152,393.758367249367
221,1666922831345,390.999289504732
232,1666922834873,387.557088806842
243,1666922883117,393.033508614534
254,1666922885442,393.619200052821
265,1666922934213,396.80135179971
276,1666922936654,395.447891012925
287,1666922944357,395.936305122885
298,1666922988280,393.108601123468
309,1666922994833,394.415606910589
320,1666923039735,392.84753480871
331,1666923045346,392.905115221305
342,1666923091207,395.383013158001
353,1666923095486,394.223206069637
364,1666923142222,396.718089029257
375,1666923145352,398.270035369396
386,1666923193559,394.261422335302
397,1666923196497,388.995811722873
408,1666923244560,391.127772131037
419,1666923247222,398.687140621621
430,1666923255100,395.71430952774
441,1666923297171,390.098467721986
452,1666923305708,390.221256610711
463,1666923348385,392.977258763165
474,1666923355885,393.183514349583
485,1666923399016,392.585317990272
496,1666923402825,395.130354465362
507,1666923449785,388.978256728135
518,1666923453071,388.217422416906
529,1666923498989,386.797722613036
540,1666923502430,388.020378315725
551,1666923515710,383.872972449441
562,1666923553066,378.364071353078
573,1666923563016,380.768299690468
584,1666923603441,390.425249936852
595,1666923611604,386.987575390449
606,1666923653946,391.48718144656
617,1666923660120,393.291093216869
628,1666923701881,385.084420995299
639,1666923706513,384.950905533046
650,1666923751818,384.649824030847
661,1666923755864,386.374701582559
672,1666923801468,382.149355530012
683,1666923805510,377.821576409927
694,1666923818093,379.777990347227
705,1666923854702,382.800370883784
716,1666923865052,381.877462209232
727,1666923903898,381.900146636808
738,1666923914907,382.69433445324
749,1666923952788,377.519094420002
760,1666923958383,375.592368517829
771,1666924002076,376.340430248808
782,1666924007110,378.257011392515
793,1666924050835,373.419744202491
804,1666924054219,374.947298823701
815,1666924074572,373.540857835718
826,1666924103069,367.422013248745
837,1666924117380,369.194937123786
848,1666924152590,372.5859988204
859,1666924165022,372.422301481583
870,1666924202113,373.577130923997
881,1666924210912,373.651251742173
892,1666924249416,369.641575383488
903,1666924254717,368.619687075453
914,1666924298065,369.561179098451
925,1666924303822,372.468668831611
936,1666924346269,372.221441660327
947,1666924351366,371.620198766338
958,1666924366051,370.50426396123
969,1666924399288,372.084299761967
980,1666924414058,370.633239614442
991,1666924448023,365.447879091453
1002,1666924461969,366.7652824612
1013,1666924496509,367.474372933155
1024,1666924502570,368.358937597438
1035,1666924542687,370.218228316746
1046,1666924550426,371.473793083313
1057,1666924591158,367.066589925051
1068,1666924596835,362.205980810737
1079,1666924622359,363.257509031421
1090,1666924643989,363.020993706596
1101,1666924659733,360.820560142181
1112,1666924691839,364.07300423133
1123,1666924708286,364.34152074356
1134,1666924740114,359.701244181591
1145,1666924752509,359.208287648145
1156,1666924786783,363.050176136899
1167,1666924794292,360.419269235569
1178,1666924833690,358.3864854418
1189,1666924840735,351.488675169001
1200,1666924879716,355.684917132711
1211,1666924886910,355.449857356576
1222,1666924903914,355.123477884705
1233,1666924934051,357.07615186777
1244,1666924952021,356.680499688348
1255,1666924980264,357.078718078817
1266,1666924999940,357.521401925908
1277,1666925027708,352.97489474656
1288,1666925036605,355.217996093208
1299,1666925074633,350.404082581807
1310,1666925081672,349.179920337381
1321,1666925121146,353.228117575364
1332,1666925129099,358.279682687132
1343,1666925159506,357.410632152822
1354,1666925174551,352.270923292
1365,1666925194007,351.200316371188
1376,1666925221697,357.005715217476
1387,1666925241972,355.639044096067
1398,1666925267649,343.080301226012
1409,1666925282427,342.526398962243
1420,1666925315485,344.535180734835
1431,1666925322119,341.193727027311
1442,1666925361498,344.833896710377
1453,1666925368165,350.365009012494
1464,1666925405545,347.315997743905
1475,1666925414937,346.125291117794
1486,1666925435741,344.760961471172
1497,1666925460361,341.623913292601
1508,1666925481624,341.299026592953
1519,1666925506416,345.090917759799
1530,1666925528283,346.734561238435
1541,1666925552771,343.387793399995
1552,1666925564573,344.74280770082
1563,1666925598180,339.038870609339
1574,1666925605814,335.303499926009
1585,1666925643792,335.688665530367
1596,1666925652127,333.542929134848
1607,1666925685700,335.605658778397
1618,1666925697668,337.283749041163
1629,1666925720231,337.041325991599
1640,1666925742107,339.509047738483
1651,1666925765274,338.7123404027
1662,1666925788381,331.48433653758
1673,1666925804045,331.16228042659
1684,1666925834041,330.637839318846
1695,1666925842513,330.777235244489
1706,1666925879367,332.940090048542
1717,1666925887381,330.254519978163
1728,1666925921548,330.541201923047
1739,1666925933149,332.385472843537
1750,1666925957985,330.470940530841
1761,1666925976460,328.689403314798
1772,1666926001539,327.641313361855
1783,1666926022588,325.301379964293
1794,1666926048011,326.247313974461
1805,1666926067413,331.166227871392
1816,1666926080611,328.328795339713
1827,1666926112612,328.165988587037
1838,1666926121146,328.03648031812
1849,1666926155932,325.329304792162
1860,1666926166127,324.859896081967
1871,1666926199485,324.090892957927
1882,1666926209869,326.773548860213
1893,1666926237552,325.691721952282
1904,1666926254312,325.092537678078
1915,1666926281423,323.98810566572
1926,1666926299569,318.547385847568
1937,1666926316999,317.207771321176
1948,1666926344425,318.920320417945
1959,1666926351919,318.32825700452
1970,1666926388914,319.38970490423
1981,1666926397061,319.49925517844
1992,1666926431643,319.404308321841
2003,1666926441246,317.482438261541
2014,1666926470102,317.632958851036
2025,1666926484418,318.078875856161
2036,1666926513462,318.227193680645
2047,1666926529245,317.6521526705
2058,1666926558770,313.534931881049
2069,1666926574288,316.295473689806
2080,1666926589096,313.856784794596
2091,1666926619041,318.367497860385
2102,1666926626999,317.432373078063
2113,1666926664085,312.790079478019
2124,1666926671431,312.766744576077
2135,1666926701891,314.279924936255
2146,1666926714282,312.676363917299
2157,1666926745374,313.147958221733
2168,1666926758376,314.276303624868
2179,1666926788521,312.631556149801
2190,1666926802669,316.129834115339
2201,1666926821050,316.609919096311
2212,1666926848002,312.558023109776
2223,1666926856104,313.680803306942
2234,1666926892400,312.87759708638
2245,1666926900001,311.294719180564
2256,1666926932210,309.71966241962
2267,1666926942738,309.095645173115
2278,1666926974127,310.40092516462
2289,1666926987446,308.674812873326
2300,1666927015643,311.543115115135
2311,1666927027662,312.649887638677
2322,1666927055665,311.938882533734
2333,1666927067845,307.653660845278
2344,1666927081541,308.147317082148
2355,1666927108120,309.428412977653
2366,1666927115163,309.762927583141
2377,1666927148724,312.444611963332
2388,1666927155559,314.10387752974
2399,1666927184381,310.950247923144
2410,1666927195380,311.456721505623
2421,1666927223402,308.249574780267
2432,1666927235303,303.74506868668
2443,1666927264232,305.594581199521
2454,1666927274539,303.437312618007
2465,1666927291487,304.322795344698
2476,1666927314782,307.586665604914
2487,1666927322197,307.328313496693
2498,1666927355290,302.816096788417
2509,1666927363129,302.438709694805
2520,1666927391887,302.217447329953
2531,1666927402216,305.644094618806
2542,1666927429940,303.917843034074
2553,1666927441165,303.652975335508
2564,1666927470830,303.763611324897
2575,1666927481404,305.386910454537
2586,1666927508929,304.583296801184
2597,1666927520223,304.918393566171
2608,1666927535721,305.114821423681
2619,1666927560329,300.8481680272
2630,1666927568309,298.0461069585
2641,1666927599591,300.085533639466
2652,1666927607916,299.399693014298
2663,1666927639071,300.214691647639
2674,1666927646104,301.552065473767
2685,1666927676900,303.662540875395
2696,1666927686119,302.548817337236
