Training Env Iteration,Time,Intersection Delay(s)
26,1664599011448,109.141272261658
37,1664599055459,399.84931446497
48,1664599098919,400.285038776757
59,1664599101735,404.409146866508
70,1664599145950,394.1804167316
81,1664599189437,394.441094240602
92,1664599192577,394.037885649396
103,1664599236239,396.869927051639
114,1664599279611,395.003126050783
125,1664599282985,392.595323615416
136,1664599325920,398.392760002863
147,1664599368994,391.052098465882
158,1664599373360,386.530943712425
169,1664599415291,394.073181020723
180,1664599457371,388.71428359106
191,1664599463088,387.910481801014
202,1664599503744,390.117790871954
213,1664599545940,382.990785413449
224,1664599586412,382.689610793389
235,1664599591955,383.305149703885
246,1664599634559,388.815193605681
257,1664599675255,386.075833777572
268,1664599683252,381.600049105865
279,1664599721931,379.066464646455
290,1664599762483,380.575097821188
301,1664599771836,379.114563214098
312,1664599809009,379.668165407613
323,1664599850031,381.389610755907
334,1664599859374,381.48004803354
345,1664599896630,382.263562144499
356,1664599936890,377.927180119883
367,1664599947785,377.325526473487
378,1664599983223,378.427299625023
389,1664600024277,377.358596687681
400,1664600061680,374.19859077602
411,1664600069617,371.085648434675
422,1664600110643,371.874663313976
433,1664600148225,373.439638862425
444,1664600162602,374.527200913583
455,1664600197158,370.881461153751
466,1664600234481,368.438805542464
477,1664600249232,366.256262164743
488,1664600283164,368.420507641929
499,1664600321421,368.102596338915
510,1664600338695,367.327087523504
521,1664600368254,366.856619625087
532,1664600407555,365.45288098377
543,1664600425512,363.743381105506
554,1664600454070,360.467172068783
565,1664600493508,360.784823830632
576,1664600528755,362.55453950637
587,1664600539881,367.661880755618
598,1664600578854,366.619935577318
609,1664600613941,363.856696779687
620,1664600635189,360.64510704843
631,1664600665438,361.606536627359
642,1664600701777,358.462408002412
653,1664600720809,358.049877993373
664,1664600750513,356.84936388335
675,1664600788658,359.251602885144
686,1664600808409,360.431658139723
697,1664600835447,361.0013147309
708,1664600872514,353.51814235446
719,1664600896926,351.683571399195
730,1664600919527,350.086356690747
741,1664600956727,354.328198746123
752,1664600989211,354.783617537024
763,1664601004082,355.544444952449
774,1664601041561,349.143947015787
785,1664601074619,350.396646286271
796,1664601100634,349.391167856946
807,1664601126904,355.626720843403
818,1664601162592,352.682102440657
829,1664601185955,348.657720318836
840,1664601210055,342.573064463116
851,1664601246862,345.847782566885
862,1664601271905,347.070754242073
873,1664601294271,353.768291065109
884,1664601331037,348.142225088565
895,1664601360553,346.387546322886
906,1664601378155,344.614851423422
917,1664601414369,343.595733620335
928,1664601445070,344.953068872591
939,1664601461460,353.222956640034
950,1664601497442,346.347154051923
961,1664601529725,342.003801274647
972,1664601560000,333.678796590357
983,1664601582237,342.173229824225
994,1664601617148,338.916119661249
1005,1664601645751,340.798802182721
1016,1664601664922,342.097182080814
1027,1664601700183,337.979710275084
1038,1664601732142,335.877869400633
1049,1664601748918,339.362344646475
1060,1664601784232,341.080096713232
1071,1664601816471,340.66235272641
1082,1664601831774,339.96080972711
1093,1664601866752,336.374675720875
1104,1664601899356,336.896770575576
1115,1664601915277,340.655362618893
1126,1664601950502,339.550014075444
1137,1664601985590,339.839886227489
1148,1664602016227,335.31897908256
1159,1664602034150,331.078817269262
1170,1664602069216,334.140862756926
1181,1664602101733,337.134464322831
1192,1664602117036,336.995269200955
1203,1664602151710,335.103380828388
1214,1664602184122,331.88675443048
1225,1664602201464,332.669010120403
1236,1664602234751,332.503870683876
1247,1664602266487,331.198696327454
1258,1664602283784,332.517876237703
1269,1664602316477,331.060094155282
1280,1664602353936,329.174047279519
1291,1664602366709,326.281508394482
1302,1664602400183,327.93255956784
1313,1664602436268,324.985882897257
1324,1664602467542,326.360707823284
1335,1664602482620,325.779563150764
1346,1664602518828,325.388308991145
1357,1664602549134,325.431269207603
1368,1664602563946,323.100156201945
1379,1664602600027,324.168191345373
1390,1664602631286,325.351085229964
1401,1664602649616,320.698336049739
1412,1664602683855,323.143773048632
1423,1664602717320,322.56714925378
1434,1664602731097,326.189884864203
1445,1664602765359,327.237529116966
1456,1664602799557,322.508511749575
1467,1664602813468,323.448031071435
1478,1664602847028,319.445361588179
1489,1664602881668,319.150153424605
1500,1664602911109,317.119563200797
1511,1664602929156,317.888945998195
1522,1664602963043,317.715109015232
1533,1664602994332,317.481256897492
1544,1664603012423,319.188577506043
1555,1664603043799,317.278081909027
1566,1664603078320,315.712059256139
1577,1664603093753,317.918417415505
1588,1664603126716,317.144424406372
1599,1664603160603,313.869322845355
1610,1664603174326,314.350093672483
1621,1664603207341,313.865783683303
1632,1664603242412,312.314784213553
1643,1664603255851,313.715008971519
1654,1664603287307,313.22555626133
1665,1664603322519,315.425839631629
1676,1664603350041,313.124291088615
1687,1664603374006,309.368067723747
1698,1664603404606,312.886369211928
1709,1664603433490,311.241852498325
1720,1664603454223,311.123410196174
1731,1664603486203,311.688845051221
1742,1664603519467,310.771025268785
1753,1664603536250,313.666624380218
1764,1664603566029,313.727748618291
1775,1664603600842,311.447622750593
1786,1664603618255,311.977948398068
1797,1664603646917,309.771580380043
1808,1664603682418,311.572527508017
1819,1664603700529,310.345647586752
1830,1664603728477,309.241454922617
1841,1664603762962,310.775235478785
1852,1664603787509,310.529093204513
1863,1664603812716,309.400456314135
1874,1664603843529,309.6888101498
1885,1664603871437,310.55231055724
1896,1664603893264,307.985009230581
1907,1664603923292,307.841800440056
1918,1664603956109,308.179579034637
1929,1664603975349,307.440913807487
1940,1664604003335,307.044126961709
1951,1664604038250,305.467287368256
1962,1664604061894,307.662027355805
1973,1664604084139,309.685785450104
1984,1664604119787,307.037145499
1995,1664604143748,307.778117946798
2006,1664604169674,303.490606972164
2017,1664604199837,307.074804385299
2028,1664604224360,307.173208641933
2039,1664604250833,304.309259104832
2050,1664604280078,306.313793215615
2061,1664604305786,305.641016612253
2072,1664604330731,305.883552287171
2083,1664604361608,302.329021279679
2094,1664604391254,303.136035073467
2105,1664604411467,303.243519500261
2116,1664604440566,303.624173615179
2127,1664604473613,305.495460372364
2138,1664604499430,303.018479486198
2149,1664604527055,304.936393225449
2160,1664604576976,304.719654537125
2171,1664604617427,303.591267526029
2182,1664604658119,303.795659881331
2193,1664604698151,303.004186086585
2204,1664604742876,304.290370318798
2215,1664604780397,302.771958355237
2226,1664604824439,304.083524561268
2237,1664604867642,303.938770555094
2248,1664604903030,303.381235563426
2259,1664604946940,302.375667824679
2270,1664604992432,303.672344002747
2281,1664605029030,302.563960093208
2292,1664605069844,301.127103826634
2303,1664605116359,302.979312602855
2314,1664605155034,302.891393431386
2325,1664605197950,302.554255994313
2336,1664605243383,303.352820369154
2347,1664605282088,303.11765137036
2358,1664605324685,302.605167480946
2369,1664605364764,302.176075194437
2380,1664605416258,302.597107097741
2391,1664605449983,302.244087066107
2402,1664605489793,299.690452929552
2413,1664605539688,301.233741943001
2424,1664605571478,301.56311761822
2435,1664605612976,299.913318257445
2446,1664605662361,298.325128079174
2457,1664605696584,301.435667993757
2468,1664605734431,302.332735938232
2479,1664605786373,299.033244544538
2490,1664605823351,300.33279485608
2501,1664605868729,297.378713915443
2512,1664605909366,297.062336115484
2523,1664605944754,297.602939050789
