Training Env Iteration,Time,Intersection Delay(s)
40,1665899729187,0
51,1665899730053,36.4916934005169
62,1665899783123,397.491011045749
73,1665899784098,384.809682706518
84,1665899784825,367.648917935354
95,1665899837380,365.389737177327
106,1665899837942,366.004356783272
117,1665899838553,365.972094022088
128,1665899890085,347.441259864234
139,1665899891118,347.441259864234
150,1665899942154,356.077581099171
161,1665899944882,365.996799913105
172,1665899946799,365.996799913105
183,1665899997846,385.669333128488
194,1665899999966,391.206785781665
205,1665900002220,389.70783810974
216,1665900052302,365.809254302489
227,1665900053473,365.710633240151
238,1665900055697,362.283417681276
249,1665900104975,347.293877949167
260,1665900106941,347.293877949167
271,1665900156648,365.36107117518
282,1665900159719,378.784404194423
293,1665900163862,378.784404194423
304,1665900213893,390.446851143718
315,1665900218782,392.071788021213
326,1665900223699,392.005734056267
337,1665900271894,406.074448830823
348,1665900274630,408.206614666869
359,1665900281642,396.157928603656
370,1665900326042,373.137841605159
381,1665900330603,373.137841605159
392,1665900378103,383.186692028755
403,1665900382892,389.372704942171
414,1665900388588,389.372704942171
425,1665900436967,399.569953543455
436,1665900441986,401.703499892566
447,1665900451363,401.703329491403
458,1665900496144,403.48352508714
469,1665900500243,403.539958046023
480,1665900543867,398.94988111668
491,1665900552816,399.477880536184
502,1665900556821,399.477880536184
513,1665900603553,398.955938390624
524,1665900609697,399.792809094979
535,1665900618025,399.792809094979
546,1665900664058,404.582200668608
557,1665900669864,403.077554288393
568,1665900681114,403.676506317345
579,1665900722959,399.651906234573
590,1665900728504,399.651906234573
601,1665900773081,399.032329062207
612,1665900780458,402.399129693866
623,1665900786645,402.399129693866
634,1665900830439,399.311393209102
645,1665900838794,400.078852651218
656,1665900851777,401.450841428766
667,1665900892870,408.737781709909
678,1665900899180,408.300046199454
689,1665900914819,407.14656652171
700,1665900951875,406.850981222636
711,1665900957703,406.850981222636
722,1665901002508,401.466680973829
733,1665901009260,400.741936905452
744,1665901019308,400.741936905452
755,1665901062858,397.310313177893
766,1665901070672,396.510018955542
777,1665901083519,398.144298041587
788,1665901122553,413.254425107199
799,1665901130565,413.468351740788
810,1665901171623,410.866468022289
821,1665901182264,407.041507003638
832,1665901190052,407.041507003638
843,1665901233096,405.428325142329
854,1665901241371,406.307676330982
865,1665901253186,406.307676330982
876,1665901294510,396.444747111311
887,1665901301984,393.798609410333
898,1665901318400,398.41179510101
909,1665901354348,405.61687154373
920,1665901362176,405.61687154373
931,1665901405464,407.650819871035
942,1665901414667,409.962332331153
953,1665901422976,409.962332331153
964,1665901464860,409.911484029484
