Training Env Iteration,Time,Reward
34,1666922418713,-45.896127946128
45,1666922419561,-46.1252446338384
56,1666922469258,-46.1562026515152
67,1666922471359,-46.9823390151515
78,1666922521345,-47.5509311868687
89,1666922522921,-48.10546875
100,1666922572690,-46.8170875420875
111,1666922574515,-46.3982007575758
122,1666922623830,-46.34765625
133,1666922625793,-46.2487189604377
144,1666922675088,-46.5661484638047
155,1666922677288,-45.0930134680135
166,1666922681284,-46.4692866161616
177,1666922728717,-46.9790614478114
188,1666922732324,-46.6054976851852
199,1666922780317,-47.0488031355219
210,1666922783152,-46.8861900252525
221,1666922831345,-46.3401567760943
232,1666922834874,-46.3288483796296
243,1666922883118,-46.67648621633
254,1666922885443,-46.7318865740741
265,1666922934214,-47.3174400252525
276,1666922936655,-46.0147727272727
287,1666922944358,-47.1705466119529
298,1666922988281,-45.9711174242424
309,1666922994834,-47.1121291035354
320,1666923039736,-46.0657617845118
331,1666923045346,-45.2088199705387
342,1666923091208,-46.3634548611111
353,1666923095487,-46.3319681186869
364,1666923142223,-46.1280513468013
375,1666923145353,-45.6712936658249
386,1666923193560,-44.6820891203704
397,1666923196498,-44.648866266835
408,1666923244560,-44.3221143728956
419,1666923247223,-43.2267413720539
430,1666923255101,-43.9472169612795
441,1666923297172,-43.3580781776094
452,1666923305709,-44.0312894570707
463,1666923348386,-43.7004577020202
474,1666923355885,-43.7439735900673
485,1666923399017,-42.0298058712121
496,1666923402826,-43.0025278829966
507,1666923449785,-42.3040009469697
518,1666923453071,-41.7768071338384
529,1666923498990,-40.9866398358586
540,1666923502431,-42.0337884048822
551,1666923515711,-41.1580360900673
562,1666923553066,-41.6044796927609
573,1666923563017,-41.1025226220539
584,1666923603442,-40.0676425715488
595,1666923611605,-39.9684474957913
606,1666923653946,-40.0340803872054
617,1666923660121,-39.8354035143098
628,1666923701881,-39.3586595117845
639,1666923706514,-40.2155250420875
650,1666923751819,-40.6646964436027
661,1666923755864,-39.6869554924242
672,1666923801468,-39.5834227693603
683,1666923805511,-38.1361479377104
694,1666923818093,-38.6294139309764
705,1666923854703,-37.3525462962963
716,1666923865053,-37.6124473905724
727,1666923903899,-36.9493923611111
738,1666923914908,-36.9073995159933
749,1666923952789,-37.5245081018518
760,1666923958384,-37.133075547138
771,1666924002077,-36.8766019570707
782,1666924007111,-36.523755787037
793,1666924050835,-35.6961121632997
804,1666924054220,-34.9795323021886
815,1666924074573,-34.4701704545455
826,1666924103069,-35.3355481902357
837,1666924117381,-35.8051636153199
848,1666924152590,-36.8607770412458
859,1666924165023,-35.840625
870,1666924202114,-35.3379313973064
881,1666924210913,-35.375912773569
892,1666924249417,-33.9557975589225
903,1666924254718,-34.2857691498316
914,1666924298065,-33.9325994318182
925,1666924303823,-34.4343329124579
936,1666924346270,-34.8085595538721
947,1666924351367,-34.4175189393939
958,1666924366052,-34.5742503156566
969,1666924399289,-33.9156328914141
980,1666924414058,-33.6695707070707
