Training Env Iteration,Time,Reward
26,1664599011449,-45.3992476851852
37,1664599055460,-45.6829387626263
48,1664599098919,-47.0036063762626
59,1664599101735,-46.1716277356903
70,1664599145950,-46.4600484006734
81,1664599189438,-47.300462962963
92,1664599192578,-45.4941419402357
103,1664599236240,-45.6623500631313
114,1664599279612,-46.0109506523569
125,1664599282985,-47.2035511363636
136,1664599325920,-45.2422006523569
147,1664599368996,-43.1444917929293
158,1664599373361,-43.862984006734
169,1664599415292,-42.107404776936
180,1664599457372,-41.4019754840067
191,1664599463089,-43.6457307449495
202,1664599503744,-41.2138336489899
213,1664599545940,-39.9474484427609
224,1664599586413,-38.4302556818182
235,1664599591955,-39.7109743265993
246,1664599634559,-40.2058107112795
257,1664599675256,-39.7361163720539
268,1664599683252,-37.098679503367
279,1664599721931,-36.3383890993266
290,1664599762484,-36.5091566708754
301,1664599771837,-35.8966671927609
312,1664599809011,-36.5663378577441
323,1664599850032,-36.182570496633
334,1664599859375,-35.1362400042088
345,1664599896631,-34.8723405934343
356,1664599936891,-34.8336332070707
367,1664599947786,-35.9098774200337
378,1664599983224,-34.970091540404
389,1664600024278,-33.6846406776094
400,1664600061680,-33.9791061658249
411,1664600069618,-33.2886521464646
422,1664600110644,-32.5812578914141
433,1664600148226,-32.904632260101
444,1664600162603,-33.2605113636364
455,1664600197159,-31.9300794402357
466,1664600234482,-32.0364925294613
477,1664600249232,-31.634859006734
488,1664600283165,-31.692781986532
499,1664600321422,-31.6839330808081
510,1664600338695,-31.8578046085859
521,1664600368255,-31.6560264099327
532,1664600407556,-31.2291377314815
543,1664600425513,-31.1604114057239
554,1664600454070,-31.3480560816498
565,1664600493508,-30.6222432659933
576,1664600528756,-30.7695917508417
587,1664600539881,-30.5251972853535
598,1664600578855,-30.6776015361953
609,1664600613942,-30.607680976431
620,1664600635190,-30.2687736742424
631,1664600665439,-29.997193287037
642,1664600701777,-29.6649805345118
653,1664600720810,-29.3260942760943
664,1664600750514,-29.5094091961279
675,1664600788659,-29.37195128367
686,1664600808410,-29.4734611742424
697,1664600835447,-29.0319365530303
708,1664600872514,-27.7523700547138
719,1664600896927,-28.4177609427609
730,1664600919527,-28.1236347853535
741,1664600956727,-28.3565261994949
752,1664600989212,-28.2107349537037
763,1664601004083,-27.5952151725589
774,1664601041562,-26.8445470328283
785,1664601074620,-27.346259469697
796,1664601100635,-27.3274016203704
807,1664601126905,-27.9187552609428
818,1664601162592,-27.2428609006734
829,1664601185956,-27.0616240530303
840,1664601210056,-25.9222932449495
851,1664601246863,-26.5323863636364
