Training Env Iteration,Time,Reward
40,1665899729190,-42.4990109427609
51,1665899730054,-42.8897727272727
62,1665899783124,-40.7378814183502
73,1665899784099,-35.551210016835
84,1665899784826,-36.8478324915825
95,1665899837381,-34.4888915193603
106,1665899837943,-30.4913746843434
117,1665899838554,-30.6318234427609
128,1665899890086,-28.3913247053872
139,1665899891119,-29.127398989899
150,1665899942155,-29.4568918350168
161,1665899944882,-31.1742003367003
172,1665899946800,-33.9951283670034
183,1665899997847,-35.5232244318182
194,1665899999967,-35.1682633627946
205,1665900002221,-35.5505418771044
216,1665900052303,-34.5000052609428
227,1665900053474,-33.3787799873737
238,1665900055698,-31.504279776936
249,1665900104976,-28.8047821969697
260,1665900106942,-30.6319996843434
271,1665900156649,-32.8806581439394
282,1665900159720,-33.2115845959596
293,1665900163863,-38.2701073232323
304,1665900213893,-39.7361847643098
315,1665900218783,-45.1339015151515
326,1665900223700,-47.5045743897306
337,1665900271895,-45.6307922979798
348,1665900274631,-40.1380076809764
359,1665900281643,-37.5621659301347
370,1665900326043,-32.6708622685185
381,1665900330604,-34.2978824705387
392,1665900378103,-35.0971696127946
403,1665900382893,-37.8889704335017
414,1665900388589,-39.9859690656566
425,1665900436968,-42.0878472222222
436,1665900441986,-46.0051636153199
447,1665900451364,-45.8999289772727
458,1665900496145,-43.5179555976431
469,1665900500244,-43.7450810185185
480,1665900543868,-39.7445075757576
491,1665900552817,-37.5342013888889
502,1665900556822,-38.4595091540404
513,1665900603554,-39.2912589436027
524,1665900609698,-39.0306292087542
535,1665900618026,-43.2092592592593
546,1665900664059,-43.3461542508417
557,1665900669866,-45.6056213173401
568,1665900681115,-45.915625
579,1665900722963,-44.7952730429293
590,1665900728505,-45.4376157407407
601,1665900773082,-42.1246790824916
612,1665900780459,-40.8003051346801
623,1665900786646,-40.2359269781145
634,1665900830441,-40.5686631944444
645,1665900838795,-41.5473116582491
656,1665900851777,-43.6235874368687
667,1665900892871,-45.8905460858586
678,1665900899181,-47.8364662247475
689,1665900914820,-47.3945180976431
700,1665900951876,-45.7417166456229
711,1665900957704,-44.9160853324916
722,1665901002509,-43.5246685606061
733,1665901009260,-40.1827861952862
744,1665901019308,-41.1581307870371
755,1665901062859,-41.2261942340068
766,1665901070672,-42.8107744107744
777,1665901083520,-45.346875
788,1665901122554,-47.2239635942761
799,1665901130566,-49.4223063973064
810,1665901171624,-47.635882260101
821,1665901182265,-47.2754971590909
832,1665901190053,-46.6982402146465
