Training Env Iteration,Time,Speed (m/s)
34,1666922418712,0
45,1666922419560,3.0014000392119
56,1666922469258,4.10799439055289
67,1666922471359,4.10919096069861
78,1666922521344,3.98861505180527
89,1666922522920,3.98659923209325
100,1666922572689,4.07217607313103
111,1666922574514,4.04744336039397
122,1666922623829,4.13363321585856
133,1666922625792,4.16002576757099
144,1666922675088,4.14669068741041
155,1666922677287,4.19687663445423
166,1666922681283,4.17611540970718
177,1666922728717,4.12822538921458
188,1666922732323,4.1381867372569
199,1666922780316,4.1086571347788
210,1666922783152,4.09568578266328
221,1666922831345,4.13356855161925
232,1666922834873,4.15949938661158
243,1666922883118,4.13336521490024
254,1666922885442,4.11081617278077
265,1666922934214,4.08188886780183
276,1666922936654,4.06782746833986
287,1666922944358,4.11034485257665
298,1666922988280,4.19673130033684
309,1666922994833,4.16433689655238
320,1666923039735,4.1436222580233
331,1666923045346,4.14315509554645
342,1666923091207,4.15506276085354
353,1666923095486,4.16662263351418
364,1666923142223,4.11133812654277
375,1666923145352,4.08435853305948
386,1666923193559,4.19833711104125
397,1666923196497,4.28369601527217
408,1666923244560,4.26629202006164
419,1666923247222,4.20157467447492
430,1666923255100,4.24483681720286
441,1666923297171,4.2785422284996
452,1666923305708,4.27871153810482
463,1666923348385,4.27144737199223
474,1666923355885,4.27429557312044
485,1666923399016,4.32704162367771
496,1666923402825,4.31704591222405
507,1666923449785,4.3091808167333
518,1666923453071,4.26760046383813
529,1666923498990,4.35991370990322
540,1666923502430,4.40383840283991
551,1666923515710,4.42199787676387
562,1666923553066,4.45963388244605
573,1666923563016,4.44813529671491
584,1666923603441,4.39595580451263
595,1666923611604,4.45782517432399
606,1666923653946,4.25430397843279
617,1666923660120,4.20536891050729
628,1666923701881,4.48179604599731
639,1666923706513,4.50087657835381
650,1666923751818,4.47824717434649
661,1666923755864,4.47214270681518
672,1666923801468,4.5562206480772
683,1666923805510,4.63130100384511
694,1666923818093,4.59527679838775
705,1666923854703,4.40934307499727
716,1666923865052,4.48711565841646
727,1666923903899,4.59808361165455
738,1666923914907,4.59032815874301
749,1666923952788,4.60839090537641
760,1666923958383,4.63313513263108
771,1666924002076,4.68845991897952
782,1666924007111,4.6767917485568
793,1666924050835,4.76943585398579
804,1666924054219,4.75393198519271
815,1666924074572,4.77628067249918
826,1666924103069,4.76104239834184
837,1666924117380,4.76568544670478
848,1666924152590,4.65999972938419
859,1666924165022,4.67871013309494
870,1666924202113,4.72218181678693
881,1666924210912,4.71645882274929
892,1666924249417,4.84803020082081
903,1666924254717,4.87630922384037
914,1666924298065,4.83534423729857
925,1666924303822,4.7559382906843
936,1666924346269,4.78421528361485
947,1666924351366,4.85536216117529
958,1666924366051,4.83746927357583
969,1666924399288,4.86227483273307
980,1666924414058,4.86837307390129
991,1666924448024,4.95996866741577
1002,1666924461969,4.94062656096681
1013,1666924496509,4.93245976387104
1024,1666924502570,4.89647245975779
1035,1666924542687,4.84915031790556
1046,1666924550427,4.82045296349445
1057,1666924591158,4.88659064523309
1068,1666924596835,4.90106062022263
1079,1666924622359,4.95679086315578
1090,1666924643989,5.03467324932711
1101,1666924659733,5.05501288030704
1112,1666924691839,5.00038447736327
1123,1666924708286,4.99294292149962
1134,1666924740114,5.00565452288318
1145,1666924752509,4.98913209410033
1156,1666924786784,5.02866779054988
1167,1666924794292,5.09681370311553
1178,1666924833690,5.12739173609181
1189,1666924840735,5.16749709340117
1200,1666924879716,5.14002853741785
1211,1666924886910,5.06272733967661
1222,1666924903914,5.14108822830233
1233,1666924934051,5.05765028892338
1244,1666924952021,5.07941598206003
1255,1666924980264,5.13839629205788
1266,1666924999940,5.14400537921911
1277,1666925027708,5.2304420428756
1288,1666925036605,5.190551460328
1299,1666925074633,5.27783308909029
1310,1666925081672,5.33718654619113
1321,1666925121147,5.22777705319436
1332,1666925129099,5.12333388407411
1343,1666925159507,5.13424000454942
1354,1666925174551,5.27090892985992
1365,1666925194008,5.29716670550323
1376,1666925221697,5.26117541557574
1387,1666925241972,5.28114043664467
1398,1666925267649,5.43659698424987
1409,1666925282427,5.43126843476832
1420,1666925315486,5.30089607267878
1431,1666925322119,5.28232875292757
1442,1666925361498,5.38469645622729
1453,1666925368165,5.35941131379507
1464,1666925405545,5.39233207373997
1475,1666925414937,5.42468106793014
1486,1666925435741,5.43270014200414
1497,1666925460362,5.41779517239696
1508,1666925481624,5.42858778621412
1519,1666925506416,5.40162240960579
1530,1666925528283,5.37838590575259
1541,1666925552771,5.42972322107545
1552,1666925564573,5.41708922301623
1563,1666925598180,5.49093124088002
1574,1666925605814,5.55073484003755
1585,1666925643792,5.58709480414235
1596,1666925652127,5.65766080267974
1607,1666925685701,5.61109576639479
1618,1666925697668,5.59419609570514
1629,1666925720231,5.58498443614193
1640,1666925742107,5.53620982736207
1651,1666925765274,5.56229132828855
1662,1666925788381,5.72079819432096
1673,1666925804045,5.75240267809916
1684,1666925834041,5.69463988216594
1695,1666925842513,5.71328635833945
1706,1666925879367,5.6723834253066
1717,1666925887381,5.70097789289932
1728,1666925921548,5.73494467526771
1739,1666925933149,5.7659775650275
1750,1666925957985,5.7384137278365
1761,1666925976460,5.87709318749358
1772,1666926001539,5.85685899516984
1783,1666926022588,5.85910084471724
1794,1666926048011,5.85962738224572
1805,1666926067413,5.70293717555369
1816,1666926080611,5.76605831503377
1827,1666926112612,5.73353115551901
1838,1666926121146,5.7610175922518
1849,1666926155932,5.82866967820445
1860,1666926166127,5.86533798635062
1871,1666926199485,5.8725203180308
1882,1666926209869,5.85261510458894
1893,1666926237552,5.84723201049562
1904,1666926254312,5.81014218496
1915,1666926281423,5.83959838319669
1926,1666926299569,5.94914549065659
1937,1666926316999,5.97548546955698
1948,1666926344425,5.97229457533859
1959,1666926351919,6.02917319338131
1970,1666926388914,5.97419888668721
1981,1666926397061,5.96148374835894
1992,1666926431643,5.95116978391319
2003,1666926441246,6.08553595562815
2014,1666926470102,6.07689479577195
2025,1666926484418,6.05625556886883
2036,1666926513462,6.03838435747007
2047,1666926529245,6.00038015188675
2058,1666926558770,6.08480216679641
2069,1666926574288,6.0359587417669
2080,1666926589096,6.06186724393948
2091,1666926619041,6.0332918810127
2102,1666926626999,6.03457035979184
2113,1666926664085,6.0958023620089
2124,1666926671431,6.08308557290617
2135,1666926701891,6.06931359650782
2146,1666926714282,6.13370152932661
2157,1666926745375,6.13829959110164
2168,1666926758376,6.10518381204153
2179,1666926788521,6.15567189401697
2190,1666926802670,6.05492149740541
2201,1666926821050,6.05383772821313
2212,1666926848002,6.17713117825601
2223,1666926856104,6.126504378859
2234,1666926892400,6.17017715977782
2245,1666926900001,6.18122979519981
2256,1666926932210,6.18254488029092
2267,1666926942738,6.20396750168966
2278,1666926974127,6.19469587514249
2289,1666926987446,6.1876416555626
2300,1666927015643,6.15368190395802
2311,1666927027662,6.14786314902955
2322,1666927055665,6.19992183628053
