Training Env Iteration,Time,Speed (m/s)
26,1664599011449,1.10628140932131
37,1664599055459,4.11960182048911
48,1664599098919,4.0866399980776
59,1664599101735,3.96775262151284
70,1664599145950,4.13056135545131
81,1664599189438,4.14110045634556
92,1664599192577,4.2063078477905
103,1664599236239,4.10585662995251
114,1664599279611,4.10285177754288
125,1664599282985,4.10029164278803
136,1664599325920,4.10419661028126
147,1664599368994,4.23176730890862
158,1664599373360,4.30865109813395
169,1664599415291,4.18682279402642
180,1664599457372,4.31159970646238
191,1664599463088,4.29936645547179
202,1664599503744,4.21847039099828
213,1664599545940,4.44812409825593
224,1664599586412,4.4794914069479
235,1664599591955,4.45037005240568
246,1664599634559,4.41795337036638
257,1664599675255,4.46323837589451
268,1664599683252,4.51223386890475
279,1664599721931,4.72183415266149
290,1664599762484,4.67888602709329
301,1664599771836,4.69525280521607
312,1664599809010,4.57588051679237
323,1664599850031,4.61272206914879
334,1664599859374,4.65643729617071
345,1664599896630,4.69303860943004
356,1664599936890,4.72000948288813
367,1664599947786,4.70684725284605
378,1664599983224,4.70752937181767
389,1664600024277,4.80408200613499
400,1664600061680,4.87620103342809
411,1664600069617,4.93934218929872
422,1664600110643,4.89312618970588
433,1664600148225,4.88324773763726
444,1664600162602,4.87322507178036
455,1664600197158,4.97144956375837
466,1664600234481,4.96009279852705
477,1664600249232,4.9765686466366
488,1664600283164,4.90097871700749
499,1664600321421,4.96456413792455
510,1664600338695,5.00879654159295
521,1664600368254,4.93978704426586
532,1664600407555,5.05232717482022
543,1664600425512,5.08896018183557
554,1664600454070,5.1305965484683
565,1664600493508,5.11638018612622
576,1664600528755,5.08357837709574
587,1664600539881,4.99330762853033
598,1664600578854,5.02203337978702
609,1664600613941,5.06245544491266
620,1664600635189,5.11207182333491
631,1664600665438,5.10385279701517
642,1664600701777,5.16502685349428
653,1664600720809,5.19339207784926
664,1664600750513,5.26106345770541
675,1664600788658,5.18445523001429
686,1664600808409,5.16184939369367
697,1664600835447,5.14132505518796
708,1664600872514,5.30695662098927
719,1664600896926,5.32625706438211
730,1664600919527,5.32683247637033
741,1664600956727,5.29236293655277
752,1664600989211,5.2850641820442
763,1664601004082,5.26931236978371
774,1664601041561,5.39680984015636
785,1664601074619,5.37638342237332
796,1664601100634,5.39255075180563
807,1664601126904,5.28971008585971
818,1664601162592,5.3366444281522
829,1664601185955,5.34808450666802
