Training Env Iteration,Time,Speed (m/s)
40,1665899729187,0
51,1665899730053,0.378902590443243
62,1665899783123,4.25968520018093
73,1665899784098,4.59223941833929
84,1665899784825,4.88283421334505
95,1665899837380,4.9949510508072
106,1665899837942,5.00214898369132
117,1665899838553,5.05956636760503
128,1665899890086,5.35981271141307
139,1665899891118,5.35981271141307
150,1665899942154,5.25152932778648
161,1665899944882,5.15116511743343
172,1665899946799,5.15116511743343
183,1665899997846,4.77601760245079
194,1665899999966,4.67106883044482
205,1665900002221,4.67090085664177
216,1665900052302,4.84928626194635
227,1665900053473,4.8516996492722
238,1665900055697,4.95454598630407
249,1665900104975,5.32689231871214
260,1665900106941,5.32689231871214
271,1665900156648,5.09268028802252
282,1665900159719,4.959700027019
293,1665900163862,4.959700027019
304,1665900213893,4.5827822225885
315,1665900218782,4.5522423360985
326,1665900223699,4.5260660696435
337,1665900271894,3.98063487680386
348,1665900274630,3.95182315494874
359,1665900281643,4.20704507140535
370,1665900326042,4.63572457954371
381,1665900330603,4.63572457954371
392,1665900378103,4.69138177806311
403,1665900382893,4.76517109864114
414,1665900388588,4.76517109864114
425,1665900436968,4.39286356558072
436,1665900441986,4.36058074514229
447,1665900451363,4.32195422752325
458,1665900496144,4.16690136151135
469,1665900500243,4.15650862945776
480,1665900543867,4.27017505422
491,1665900552816,4.35354942829698
502,1665900556822,4.35354942829698
513,1665900603553,4.44781660569547
524,1665900609697,4.44567247276613
535,1665900618025,4.44567247276613
546,1665900664058,4.27892300801901
557,1665900669865,4.30915502300002
568,1665900681114,4.26379565913517
579,1665900722959,4.21145391237924
590,1665900728504,4.21145391237924
601,1665900773081,4.29197134292935
612,1665900780458,4.28618880656317
623,1665900786645,4.28618880656317
634,1665900830439,4.34617742435725
645,1665900838794,4.33112354379746
656,1665900851777,4.31452006956537
667,1665900892870,4.17458676155026
678,1665900899180,4.16097596162496
689,1665900914819,4.1414640603862
700,1665900951875,4.08250668228765
711,1665900957703,4.08250668228765
722,1665901002508,4.23090034652375
733,1665901009260,4.32378271110031
744,1665901019308,4.32378271110031
755,1665901062859,4.43372433058502
766,1665901070672,4.4713976570652
777,1665901083519,4.41749131043921
788,1665901122553,4.0917074451069
799,1665901130565,4.0907540650243
810,1665901171624,4.07249599793718
821,1665901182265,4.01777358484311
832,1665901190052,4.01777358484311
843,1665901233096,4.14834978363673
854,1665901241372,4.16616392745284
865,1665901253186,4.16616392745284
876,1665901294511,4.38479848920881
887,1665901301984,4.43717657853327
898,1665901318400,4.3451298597404
909,1665901354348,4.10994874150291
920,1665901362176,4.10994874150291
931,1665901405465,4.06560318382373
942,1665901414667,4.00111423994548
