Training Env Iteration,Time,Speed (m/s)
34,1654542631886,0
45,1654542709944,0.295917602373918
56,1654542931476,1.47552286279401
67,1654542966606,1.47444881912238
78,1654543233839,1.54675995404587
89,1654543268892,1.52175163901831
100,1654543542667,1.53834020882187
111,1654543565216,1.40980163808958
122,1654543850654,1.40980163808958
133,1654543895208,1.40980163808958
144,1654544160535,1.48831688780027
155,1654544198525,1.46827601343662
166,1654544457548,1.60625154761836
177,1654544497782,1.7243428184648
188,1654544759775,1.67983065508511
199,1654544808994,1.69894914348901
210,1654545087516,1.69894914348901
221,1654545122549,1.6149919725544
232,1654545383702,1.54825414453385
243,1654545463174,1.54535115800624
254,1654545544842,1.66414986202439
265,1654545788133,1.50925841551954
276,1654545960396,1.5227396131462
287,1654546101159,1.65898777367695
298,1654546190061,1.66253805927295
309,1654546420890,1.65711856210167
320,1654546500935,1.66690773241983
331,1654546749356,1.67924739510004
342,1654546834576,1.67274085189306
353,1654547069268,1.79080456586679
364,1654547160559,1.79856055900755
375,1654547386704,1.74114653497648
386,1654547484761,1.68553204118437
397,1654547696348,1.66387309580716
408,1654547768706,1.70347111584781
419,1654548038616,1.60300714202345
430,1654548118743,1.61079207424041
441,1654548361383,1.67350163227037
452,1654548437564,1.54218547901936
463,1654548614087,1.58800589636134
474,1654548765886,1.68509602494763
485,1654548993213,1.68509602494763
496,1654549081738,1.65065118742843
507,1654549265938,1.65628140972888
518,1654549438202,1.7840439764145
529,1654549534484,1.823515103623
540,1654549749897,1.88224597604739
551,1654549867083,1.85978266811212
562,1654550068002,1.65494638451206
573,1654550198138,1.63934284845829
584,1654550372383,1.67910621031375
595,1654550504874,1.65083543960974
606,1654550708918,1.68186820270385
617,1654550782528,1.72071020988038
628,1654551019116,1.59773376063736
639,1654551126597,1.65139337197058
650,1654551339807,1.63131213717937
661,1654551450119,1.57608847149877
672,1654551632483,1.63510101578496
683,1654551760300,1.74414936330593
694,1654551964665,1.74769782311129
705,1654552066863,1.86631916369611
716,1654552236672,1.56462481433315
727,1654552390240,1.67598160257357
738,1654552570157,1.72230617110672
749,1654552718640,1.61109984661846
760,1654552892115,1.6854469986442
771,1654553035797,1.63104946185506
782,1654553254865,1.61625290870207
793,1654553346206,1.71700197217159
804,1654553543975,1.66790295862259
815,1654553680795,1.69499819740229
826,1654553808347,1.75234678366885
837,1654554009364,1.86389467661906
848,1654554132338,1.81544149839901
859,1654554319713,1.80363196860402
870,1654554467323,1.83207304807485
881,1654554647667,1.83055563158081
892,1654554765588,1.79133253252477
903,1654554961596,1.89262270723698
914,1654555097507,1.73345745316764
925,1654555286322,1.70197056206662
936,1654555430076,1.84919694913871
947,1654555607149,1.56960533865314
958,1654555737514,1.57862807222148
969,1654555944164,1.8890125013711
980,1654556048638,1.78346026460472
991,1654556268223,1.73639218983548
1002,1654556401373,1.68426099367181
1013,1654556569203,1.75350011300539
1024,1654556677010,1.56071833361747
1035,1654556887212,1.6585789415362
1046,1654557003679,1.61004508170497
1057,1654557220268,1.74747971528754
1068,1654557341648,1.81866393172882
1079,1654557541578,1.7114231856185
1090,1654557658859,1.6543663746353
1101,1654557846818,1.72218177819323
1112,1654557996822,1.69462333179421
1123,1654558164031,1.84516088841918
1134,1654558318886,1.68207122115592
1145,1654558466017,1.73825817346086
1156,1654558644492,1.73423467054005
1167,1654558776001,1.69687913125893
1178,1654558941422,1.61867777458614
1189,1654559120474,1.66139213702743
1200,1654559258447,1.90397519216584
1211,1654559421539,2.04799206334184
1222,1654559574438,1.78914101782393
1233,1654559738633,1.94616449368107
1244,1654559909322,1.74940414072123
1255,1654560045789,1.75664992481138
1266,1654560226329,1.6818194714158
1277,1654560394356,1.64224656695532
1288,1654560560291,1.85675255766621
1299,1654560711198,1.82355877907636
1310,1654560886578,1.79451433227346
1321,1654561044544,1.6286241775863
1332,1654561193626,1.6432699939109
1343,1654561359677,1.63535619828068
1354,1654561518226,1.67497509627456
1365,1654561676727,1.74473081447599
1376,1654561849086,1.73129117563022
1387,1654561980908,1.86724926806747
1398,1654562190072,1.82902423246047
1409,1654562303032,1.64757860210455
1420,1654562491856,1.76874085341206
1431,1654562654202,1.6433660504408
1442,1654562786046,1.76029434781078
1453,1654562953024,1.72834461751888
1464,1654563128801,1.71830393992486
1475,1654563285523,1.81025195679025
1486,1654563450132,1.96245639853556
1497,1654563595479,1.80224316583872
1508,1654563717835,1.75123585410765
1519,1654563931532,1.69949265213123
1530,1654564040859,1.72889718280443
1541,1654564263300,1.75893367169557
1552,1654564391522,1.758103035091
1563,1654564584086,1.71181620035886
1574,1654564688808,1.65362226187201
1585,1654564925994,1.6952876276705
1596,1654565012288,1.66806379557977
1607,1654565260075,1.75477367889119
1618,1654565334794,1.81734569108249
1629,1654565587586,1.79910257831404
1640,1654565662709,1.8926186540049
1651,1654565872081,1.82220374568311
1662,1654566002006,1.83868287014703
1673,1654566163653,1.83146345267103
1684,1654566320118,1.82677745334243
1695,1654566480524,1.69547469386061
1706,1654566609031,1.63109472406537
1717,1654566771642,1.67544693704567
1728,1654566936923,1.73306652639892
1739,1654567089509,1.71818853461565
1750,1654567269327,1.77463172486941
1761,1654567429326,1.70931517870489
1772,1654567596928,1.81744174463415
1783,1654567750605,1.7535879948428
1794,1654567919798,1.6457384431658
1805,1654568069978,1.74227664584579
1816,1654568265136,1.70532671246005
1827,1654568405446,1.57871094510371
1838,1654568590452,1.78968615405743
1849,1654568747449,1.71445338488655
1860,1654568882674,1.68207774065247
1871,1654569020686,1.76793931626514
1882,1654569223077,1.9323222357821
1893,1654569347469,1.75441499404489
1904,1654569552651,1.72076089123861
1915,1654569688759,1.62707472026004
1926,1654569863128,1.73750926398499
1937,1654570014392,1.7127405651414
1948,1654570167422,1.85733612847867
1959,1654570340919,1.73797639514359
1970,1654570475799,1.6965499884221
1981,1654570642402,1.5821641429276
1992,1654570795330,1.58984480376958
2003,1654570973929,1.74988079481977
2014,1654571121288,1.84090429017713
2025,1654571287365,1.812384965735
2036,1654571439132,1.67305659847106
2047,1654571603228,1.72587400651095
2058,1654571776418,1.66732960295295
2069,1654571914087,1.77386597291027
2080,1654572092249,1.76318630911028
2091,1654572266383,1.86012521097261
2102,1654572410456,1.56068932953352
2113,1654572589856,1.62255072457355
2124,1654572737476,1.71440987795149
2135,1654572911950,1.65170671306686
2146,1654573056422,1.69698247212504
2157,1654573206389,1.86290143716787
2168,1654573407421,1.83567448045575
2179,1654573546431,1.7363365523464
2190,1654573702436,1.65820982303886
2201,1654573879299,1.63858929628785
2212,1654574036092,1.59780304433524
2223,1654574180014,1.64489112703766
2234,1654574360941,1.7283167417685
2245,1654574516495,1.68497984204205
2256,1654574678069,1.71357660140365
2267,1654574834365,1.71283473238745
2278,1654574961790,1.79164994820082
2289,1654575169586,1.75704537417933
2300,1654575301672,1.71936816687495
2311,1654575462966,1.69712629355536
2322,1654575627442,1.6866188700105
2333,1654575793202,1.92136148278358
2344,1654575912373,1.7555688142494
2355,1654576111724,1.7524790434057
2366,1654576249039,1.65096535872114
2377,1654576438371,1.62830497793396
2388,1654576557826,1.76521367899377
2399,1654576741114,1.73331313859481
2410,1654576897386,1.67003139575118
2421,1654577084253,1.69312537333198
2432,1654577208554,1.83786516066866
2443,1654577418425,1.9267492953371
2454,1654577534526,1.77493783639025
2465,1654577748733,1.71300244864521
2476,1654577864514,1.73568902958047
2487,1654578009534,1.79030281910154
2498,1654578179264,1.95046732523409
2509,1654578336258,1.75200803961059
2520,1654578465390,1.76799803482841
2531,1654578657213,1.79637340003248
2542,1654578806442,1.78895757701825
2553,1654578943187,1.69505440442584
2564,1654579138259,1.7390081458411
2575,1654579253067,1.75458507316446
2586,1654579447840,1.64392845974859
2597,1654579591068,1.69292152627469
2608,1654579748257,1.67568067736682
2619,1654579911595,1.61345904159148
2630,1654580080814,1.73166602475277
2641,1654580239875,1.64384731811066
2652,1654580419649,1.69608119248986
2663,1654580508991,1.73783979593306
2674,1654580750440,1.86171693751
2685,1654580871080,1.77449342438204
2696,1654581000235,1.80805823940008
2707,1654581166204,1.80178369785893
2718,1654581326475,1.74651431356485
2729,1654581497978,1.65399156831224
2740,1654581652698,1.67629034206993
2751,1654581813129,1.69401743044623
2762,1654581957838,1.56045846720612
2773,1654582147658,1.69832274345082
2784,1654582262598,1.90735598776893
2795,1654582467165,1.89102372716799
2806,1654582588194,1.83029646477913
2817,1654582776958,1.67667718741929
2828,1654582923762,1.65999903689103
2839,1654583080931,1.73325536147971
2850,1654583245354,1.76811315433677
2861,1654583411758,1.74496847155826
2872,1654583515628,1.86269313114278
2883,1654583724199,1.60862110856415
2894,1654583826722,1.84328998268237
2905,1654584003551,1.74286747873714
2916,1654584157263,1.76847066781666
2927,1654584354664,1.71570358076367
2938,1654584460246,1.75177932104419
2949,1654584670940,1.85227282551964
2960,1654584810076,1.66745226418827
2971,1654584979347,1.61195628005081
2982,1654585141581,1.90183135604702
2993,1654585280492,1.91017296424439
3004,1654585450865,1.77218790753749
3015,1654585615689,1.70779419073263
3026,1654585743644,1.7923886437358
3037,1654585943376,1.82889602385532
3048,1654586058006,1.75236061338228
3059,1654586239011,1.74954914803337
3070,1654586392074,1.61875050995702
3081,1654586542007,1.8021261918431
3092,1654586688394,1.82186596549401
3103,1654586848240,2.01281800077036
3114,1654587007847,1.90238850295959
3125,1654587146435,1.70582963432452
3136,1654587324593,1.83895527867002
3147,1654587476645,1.77319952559706
3158,1654587659246,1.73003011573918
3169,1654587773142,1.73707073640749
3180,1654587967210,1.73577283992055
3191,1654588093877,1.78180909945557
3202,1654588269767,1.85194583204729
3213,1654588428384,1.86015832104484
3224,1654588602018,1.83457872258948
