Training Env Iteration,Time,Speed (m/s)
42,1666623396843,0
53,1666623424602,0
64,1666623773640,0.685419157559334
75,1666623804099,1.4321741244418
86,1666623841030,1.4321741244418
97,1666624211074,1.48745861343533
108,1666624225712,1.48731610075692
119,1666624245504,1.48731610075692
130,1666624497990,1.4458261460498
141,1666624510699,1.42822394444005
152,1666624531105,1.4402812544132
163,1666624795884,1.4402812544132
174,1666624805036,1.4402812544132
185,1666624900895,1.37334266281894
196,1666625092484,1.22916961680529
207,1666625103991,1.22863750608628
218,1666625228954,1.28598159021799
229,1666625350021,1.42847950371062
240,1666625380051,1.42847950371062
251,1666625551612,1.46918469489716
262,1666625598110,1.44786671033234
273,1666625644491,1.44786671033234
284,1666625888391,1.4699894093571
295,1666625903227,1.54918839083835
306,1666625921219,1.38868631197474
317,1666626161144,1.39473394799891
328,1666626197914,1.40311461342461
339,1666626215203,1.64051661532083
350,1666626387495,1.57037708040977
361,1666626454511,1.57171703692433
372,1666626517130,1.56885411272209
383,1666626680149,1.4683590932458
394,1666626705267,1.42203138805335
405,1666626843004,1.42475858598251
416,1666626937754,1.55177105465956
427,1666627001589,1.63923743351912
438,1666627175563,1.63923743351912
449,1666627204423,1.59849186296299
460,1666627246424,1.49885377124848
471,1666627442730,1.5196342354986
482,1666627497549,1.5196342354986
493,1666627528686,1.64160353852507
504,1666627681597,1.5583942908852
515,1666627711683,1.54389408888957
526,1666627831072,1.54389408888957
537,1666627985537,1.51044227642998
548,1666628046615,1.52997797028841
559,1666628195340,1.52997797028841
570,1666628328942,1.47709940208494
581,1666628381184,1.40484572524328
592,1666628510159,1.36231738791556
603,1666628630642,1.36231738791556
614,1666628675392,1.57794594385218
625,1666628799580,1.76749463386963
636,1666628847220,1.76749463386963
647,1666628894449,1.71941355126726
658,1666628993327,1.47493917338802
669,1666629074570,1.36890257321386
680,1666629235420,1.36890257321386
691,1666629344788,1.41323154548346
702,1666629421957,1.43240026522001
713,1666629554979,1.43240026522001
724,1666629661113,1.43240026522001
735,1666629725523,1.47832587569063
746,1666629852667,1.45485287420753
757,1666629914821,1.46597020659462
768,1666630022049,1.44113603259215
779,1666630119538,1.69547009797571
790,1666630243076,1.62429491244437
801,1666630352646,1.62429491244437
812,1666630489994,1.4922632876876
823,1666630606756,1.33584016188613
834,1666630703252,1.47773568065265
845,1666630811950,1.57502044188084
856,1666630893970,1.6130289098983
867,1666630982440,1.5821492298279
878,1666631110601,1.55465278399725
889,1666631165412,1.73515767867668
900,1666631291734,1.51278501340242
911,1666631417360,1.78987437403371
922,1666631543763,1.73368318154507
933,1666631651991,1.51826081137927
944,1666631759701,1.47613321434655
955,1666631909464,1.45847208422948
966,1666631969590,1.69392413727078
977,1666632089316,1.62069961866812
988,1666632175513,1.66386709546932
999,1666632295563,1.71934861825491
1010,1666632401278,1.7447117714115
1021,1666632441364,1.71907367487014
1032,1666632583527,1.60370224043401
1043,1666632716698,1.5350834663646
1054,1666632808198,1.54504711843686
1065,1666632965379,1.38229237639536
1076,1666633071594,1.31563533315959
1087,1666633165107,1.52941745754743
1098,1666633281605,1.61411199549272
1109,1666633379345,1.40325416501964
1120,1666633457056,1.45632302733559
1131,1666633559226,1.75336287298804
1142,1666633670892,1.71976563466423
1153,1666633789854,1.64380204713509
1164,1666633864789,1.54808444910129
1175,1666633975707,1.47741239509504
1186,1666634113915,1.49214079914753
1197,1666634225099,1.49475469091841
1208,1666634307982,1.82246818289283
1219,1666634443186,1.76908478438457
1230,1666634544370,1.62672905502922
1241,1666634624838,1.53717034535057
1252,1666634753006,1.41745040821499
1263,1666634827210,1.92653004845169
1274,1666634932278,1.81721606679863
1285,1666635054955,1.52104425348092
1296,1666635113533,1.66328795179182
1307,1666635239873,1.73720821412937
1318,1666635381737,1.50587535356882
1329,1666635468783,1.49457501804167
1340,1666635567313,1.48852542286348
1351,1666635707218,1.48774439040661
1362,1666635786530,1.34393567366305
1373,1666635878463,1.59455580427041
1384,1666635987356,1.76090288633365
1395,1666636062155,1.72198954071294
1406,1666636164291,1.73367541176203
1417,1666636268714,1.54667039929408
